Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,,Chrom.1,
UV 1_280,,Cond,,Conc B,,Injection,,Run Log,,Fraction,,"UV 1_280_CUT_TEMP@100,BASEM",
ml,mAU,ml,mS/cm,ml,%,ml,Injection,ml,Logbook,ml,Fraction,ml,mAU
1.919399,1.097542,3.846537,0.594442,19.261749,0,,,,,,,1.92688,1.097392
1.927428,1.097392,3.862596,0.595645,19.342037,0,,,,,,,1.934909,1.097832
1.935456,1.097832,3.878654,0.596843,19.422325,0,,,,,,,1.942937,1.097782
1.943485,1.097782,3.894712,0.598081,19.502613,0,,,,,,,1.950966,1.097069
1.951514,1.097069,3.910771,0.599323,19.582903,0,,,,,,,1.958995,1.096948
1.959542,1.096948,3.926829,0.600441,19.663191,0,,,,,,,1.967023,1.096714
1.967571,1.096714,3.942888,0.601917,19.743479,0,,,,,,,1.975052,1.096636
1.9756,1.096636,3.958946,0.603455,19.823769,0,,,,,,,1.983081,1.096731
1.983628,1.096731,3.975004,0.605021,19.904057,0,,,,,,,1.991109,1.096971
1.991657,1.096971,3.991063,0.606518,19.984344,0,,,,,,,1.999138,1.098551
1.999686,1.098551,4.007121,0.608125,20.064632,0,,,,,,,2.007167,1.099405
2.007714,1.099405,4.02318,0.609788,20.144922,0,,,,,,,2.015195,1.10035
2.015743,1.10035,4.039238,0.61144,20.22521,0,,,,,,,2.023224,1.101763
2.023772,1.101763,4.055296,0.612944,20.305498,0,,,,,,,2.031253,1.102936
2.0318,1.102936,4.071355,0.614463,20.385786,0,,,,,,,2.039281,1.104734
2.039829,1.104734,4.087413,0.616074,20.466076,0,,,,,,,2.04731,1.106179
2.047858,1.106179,4.103472,0.617605,20.546364,0,,,,,,,2.055339,1.109448
2.055886,1.109448,4.11953,0.618919,20.626652,0,,,,,,,2.063367,1.111267
2.063915,1.111267,4.135589,0.620147,20.706942,0,,,,,,,2.071396,1.114544
2.071944,1.114544,4.151647,0.621471,20.78723,0,,,,,,,2.079425,1.117392
